condition,target_history_tokens,interference,n,contract_success_n,contract_retention_rate,contract_ci_low,contract_ci_high,strict_success_n,strict_tutor_retention_rate,strict_ci_low,strict_ci_high,anchor_hit_rate,truncation_rate,mean_input_tokens,mean_output_tokens,median_latency_s,median_ttft_s
Base-Instruct + Front Prompt,0,neutral,15,4,0.26666666666666666,0.1089727610318281,0.5195088965768675,4,0.26666666666666666,0.1089727610318281,0.5195088965768675,0.8,0.0,233.73333333333332,76.93333333333334,6.342624296000167,0.1591681800000515
Base-Instruct + Front Prompt,2048,neutral,15,2,0.13333333333333333,0.0373604698913593,0.3788249920651624,2,0.13333333333333333,0.0373604698913593,0.3788249920651624,0.8,0.06666666666666667,2455.733333333333,101.4,9.673057762000099,0.2228345309999895
Base-Instruct + Front Prompt,2048,conflict,15,2,0.13333333333333333,0.0373604698913593,0.3788249920651624,2,0.13333333333333333,0.0373604698913593,0.3788249920651624,0.9333333333333333,0.0,2441.733333333333,132.33333333333334,12.447613494999814,0.21831307799993738
Base-Instruct + Front Prompt,8192,neutral,15,1,0.06666666666666667,0.011866588606194856,0.2981707755242399,1,0.06666666666666667,0.011866588606194856,0.2981707755242399,0.8666666666666667,0.06666666666666667,8846.733333333334,115.53333333333333,11.093664502000138,0.639108239999814
Base-Instruct + Front Prompt,8192,conflict,15,1,0.06666666666666667,0.011866588606194856,0.2981707755242399,1,0.06666666666666667,0.011866588606194856,0.2981707755242399,0.8666666666666667,0.2,8782.733333333334,134.46666666666667,13.962787085000173,0.6375575260001369
Base-Instruct + Prompt Refresh,0,neutral,15,1,0.06666666666666667,0.011866588606194856,0.2981707755242399,1,0.06666666666666667,0.011866588606194856,0.2981707755242399,0.6666666666666666,0.0,267.73333333333335,55.0,4.509627421000005,0.15942501199992876
Base-Instruct + Prompt Refresh,2048,neutral,15,2,0.13333333333333333,0.0373604698913593,0.3788249920651624,2,0.13333333333333333,0.0373604698913593,0.3788249920651624,0.6666666666666666,0.0,2489.733333333333,55.733333333333334,5.355698953000001,0.22336037500008388
Base-Instruct + Prompt Refresh,2048,conflict,15,3,0.2,0.07047420643610414,0.4518593533465045,2,0.13333333333333333,0.0373604698913593,0.3788249920651624,0.7333333333333333,0.0,2475.733333333333,60.2,5.639156494999952,0.21863658100005523
Base-Instruct + Prompt Refresh,8192,neutral,15,2,0.13333333333333333,0.0373604698913593,0.3788249920651624,2,0.13333333333333333,0.0373604698913593,0.3788249920651624,0.7333333333333333,0.0,8880.733333333334,54.46666666666667,4.930795779999926,0.6399792239999442
Base-Instruct + Prompt Refresh,8192,conflict,15,5,0.3333333333333333,0.15176100694691236,0.5828687484878701,5,0.3333333333333333,0.15176100694691236,0.5828687484878701,0.8,0.0,8816.733333333334,63.333333333333336,6.124878809000165,0.6331272500001432
LoRA + Front Prompt,0,neutral,15,15,1.0,0.7961107336956521,1.0,10,0.6666666666666666,0.41713125151212976,0.8482389930530876,0.6666666666666666,0.0,233.73333333333332,47.93333333333333,7.809529292000207,0.17853414299997894
LoRA + Front Prompt,2048,neutral,15,15,1.0,0.7961107336956521,1.0,15,1.0,0.7961107336956521,1.0,1.0,0.0,2455.733333333333,50.86666666666667,7.6641950040002484,0.2657362119998652
LoRA + Front Prompt,2048,conflict,15,15,1.0,0.7961107336956521,1.0,14,0.9333333333333333,0.7018292244757601,0.9881334113938051,0.9333333333333333,0.0,2441.733333333333,52.93333333333333,7.861655235999933,0.25565715099992303
LoRA + Front Prompt,8192,neutral,15,14,0.9333333333333333,0.7018292244757601,0.9881334113938051,13,0.8666666666666667,0.6211750079348376,0.9626395301086407,0.9333333333333333,0.0,8846.733333333334,57.8,10.142330410999875,0.8801585559999694
LoRA + Front Prompt,8192,conflict,15,14,0.9333333333333333,0.7018292244757601,0.9881334113938051,12,0.8,0.5481406466534955,0.9295257935638959,0.8666666666666667,0.0,8782.733333333334,52.8,8.6204370129999,0.8793563829999584
Base-Thinking + Front Prompt,0,neutral,15,10,0.6666666666666666,0.41713125151212976,0.8482389930530876,8,0.5333333333333333,0.3011663015105079,0.7519077474025355,0.5333333333333333,0.26666666666666666,235.73333333333332,3007.0666666666666,21.16188539900031,0.031862734
Base-Thinking + Front Prompt,2048,neutral,15,12,0.8,0.5481406466534955,0.9295257935638959,6,0.4,0.19824228082594664,0.642535572434923,0.4666666666666667,0.13333333333333333,2457.733333333333,2532.3333333333335,14.625718928999959,0.030584105
Base-Thinking + Front Prompt,2048,conflict,15,13,0.8666666666666667,0.6211750079348376,0.9626395301086407,8,0.5333333333333333,0.3011663015105079,0.7519077474025355,0.5333333333333333,0.06666666666666667,2443.733333333333,2541.266666666667,17.69023178999987,0.030113073
Base-Thinking + Front Prompt,8192,neutral,15,11,0.7333333333333333,0.4804911034231324,0.8910272389681718,8,0.5333333333333333,0.3011663015105079,0.7519077474025355,0.5333333333333333,0.13333333333333333,8848.733333333334,2243.266666666667,12.768190985999354,0.038011878
Base-Thinking + Front Prompt,8192,conflict,15,10,0.6666666666666666,0.41713125151212976,0.8482389930530876,6,0.4,0.19824228082594664,0.642535572434923,0.4666666666666667,0.2,8784.733333333334,2606.3333333333335,17.747430124999937,0.037875155
