blind_id,condition
AD-0156,LoRA + Front Prompt
AD-0231,Base-Thinking + Front Prompt
AD-0092,Base-Instruct + Prompt Refresh
AD-0197,LoRA + Front Prompt
AD-0234,Base-Thinking + Front Prompt
AD-0108,Base-Instruct + Prompt Refresh
AD-0245,Base-Thinking + Front Prompt
AD-0260,Base-Thinking + Front Prompt
AD-0288,Base-Thinking + Front Prompt
AD-0120,Base-Instruct + Prompt Refresh
AD-0179,LoRA + Front Prompt
AD-0115,Base-Instruct + Prompt Refresh
AD-0257,Base-Thinking + Front Prompt
AD-0129,Base-Instruct + Prompt Refresh
AD-0127,Base-Instruct + Prompt Refresh
AD-0011,Base-Instruct + Front Prompt
AD-0280,Base-Thinking + Front Prompt
AD-0020,Base-Instruct + Front Prompt
AD-0178,LoRA + Front Prompt
AD-0123,Base-Instruct + Prompt Refresh
AD-0111,Base-Instruct + Prompt Refresh
AD-0286,Base-Thinking + Front Prompt
AD-0051,Base-Instruct + Front Prompt
AD-0080,Base-Instruct + Prompt Refresh
AD-0272,Base-Thinking + Front Prompt
AD-0243,Base-Thinking + Front Prompt
AD-0045,Base-Instruct + Front Prompt
AD-0009,Base-Instruct + Front Prompt
AD-0232,Base-Thinking + Front Prompt
AD-0237,Base-Thinking + Front Prompt
AD-0014,Base-Instruct + Front Prompt
AD-0085,Base-Instruct + Prompt Refresh
AD-0271,Base-Thinking + Front Prompt
AD-0034,Base-Instruct + Front Prompt
AD-0059,Base-Instruct + Front Prompt
AD-0021,Base-Instruct + Front Prompt
AD-0244,Base-Thinking + Front Prompt
AD-0018,Base-Instruct + Front Prompt
AD-0265,Base-Thinking + Front Prompt
AD-0119,Base-Instruct + Prompt Refresh
AD-0089,Base-Instruct + Prompt Refresh
AD-0149,Base-Instruct + Prompt Refresh
AD-0100,Base-Instruct + Prompt Refresh
AD-0138,Base-Instruct + Prompt Refresh
AD-0270,Base-Thinking + Front Prompt
AD-0216,LoRA + Front Prompt
AD-0067,Base-Instruct + Front Prompt
AD-0299,Base-Thinking + Front Prompt
AD-0050,Base-Instruct + Front Prompt
AD-0035,Base-Instruct + Front Prompt
AD-0233,Base-Thinking + Front Prompt
AD-0070,Base-Instruct + Front Prompt
AD-0090,Base-Instruct + Prompt Refresh
AD-0101,Base-Instruct + Prompt Refresh
AD-0226,Base-Thinking + Front Prompt
AD-0098,Base-Instruct + Prompt Refresh
AD-0146,Base-Instruct + Prompt Refresh
AD-0031,Base-Instruct + Front Prompt
AD-0160,LoRA + Front Prompt
AD-0166,LoRA + Front Prompt
AD-0196,LoRA + Front Prompt
AD-0116,Base-Instruct + Prompt Refresh
AD-0103,Base-Instruct + Prompt Refresh
AD-0066,Base-Instruct + Front Prompt
AD-0168,LoRA + Front Prompt
AD-0106,Base-Instruct + Prompt Refresh
AD-0189,LoRA + Front Prompt
AD-0013,Base-Instruct + Front Prompt
AD-0143,Base-Instruct + Prompt Refresh
AD-0088,Base-Instruct + Prompt Refresh
AD-0264,Base-Thinking + Front Prompt
AD-0180,LoRA + Front Prompt
AD-0030,Base-Instruct + Front Prompt
AD-0248,Base-Thinking + Front Prompt
AD-0072,Base-Instruct + Front Prompt
AD-0071,Base-Instruct + Front Prompt
AD-0242,Base-Thinking + Front Prompt
AD-0147,Base-Instruct + Prompt Refresh
AD-0195,LoRA + Front Prompt
AD-0276,Base-Thinking + Front Prompt
AD-0087,Base-Instruct + Prompt Refresh
AD-0181,LoRA + Front Prompt
AD-0041,Base-Instruct + Front Prompt
AD-0185,LoRA + Front Prompt
AD-0274,Base-Thinking + Front Prompt
AD-0075,Base-Instruct + Front Prompt
AD-0061,Base-Instruct + Front Prompt
AD-0131,Base-Instruct + Prompt Refresh
AD-0252,Base-Thinking + Front Prompt
AD-0171,LoRA + Front Prompt
AD-0207,LoRA + Front Prompt
AD-0008,Base-Instruct + Front Prompt
AD-0019,Base-Instruct + Front Prompt
AD-0235,Base-Thinking + Front Prompt
AD-0151,LoRA + Front Prompt
AD-0144,Base-Instruct + Prompt Refresh
AD-0268,Base-Thinking + Front Prompt
AD-0255,Base-Thinking + Front Prompt
AD-0170,LoRA + Front Prompt
AD-0204,LoRA + Front Prompt
AD-0228,Base-Thinking + Front Prompt
AD-0173,LoRA + Front Prompt
AD-0161,LoRA + Front Prompt
AD-0099,Base-Instruct + Prompt Refresh
AD-0052,Base-Instruct + Front Prompt
AD-0133,Base-Instruct + Prompt Refresh
AD-0188,LoRA + Front Prompt
AD-0141,Base-Instruct + Prompt Refresh
AD-0208,LoRA + Front Prompt
AD-0010,Base-Instruct + Front Prompt
AD-0282,Base-Thinking + Front Prompt
AD-0266,Base-Thinking + Front Prompt
AD-0164,LoRA + Front Prompt
AD-0249,Base-Thinking + Front Prompt
AD-0134,Base-Instruct + Prompt Refresh
AD-0056,Base-Instruct + Front Prompt
AD-0273,Base-Thinking + Front Prompt
AD-0229,Base-Thinking + Front Prompt
AD-0097,Base-Instruct + Prompt Refresh
AD-0172,LoRA + Front Prompt
AD-0042,Base-Instruct + Front Prompt
AD-0145,Base-Instruct + Prompt Refresh
AD-0162,LoRA + Front Prompt
AD-0002,Base-Instruct + Front Prompt
AD-0262,Base-Thinking + Front Prompt
AD-0125,Base-Instruct + Prompt Refresh
AD-0167,LoRA + Front Prompt
AD-0082,Base-Instruct + Prompt Refresh
AD-0247,Base-Thinking + Front Prompt
AD-0201,LoRA + Front Prompt
