condition,scenario,successes,n,pass_rate,ci95_low,ci95_high
Base-Instruct + 4-Shot,first_hint,9,9,1.0,0.7008549515804559,1.0
Base-Instruct + 4-Shot,pressure,0,9,0.0,0.0,0.2991450484195441
Base-Instruct + 4-Shot,wrong_attempt,4,9,0.4444444444444444,0.18877852109766452,0.733348706504507
Base-Instruct + Prompt,first_hint,8,9,0.8888888888888888,0.5650002944233439,0.9801091123614551
Base-Instruct + Prompt,pressure,0,9,0.0,0.0,0.2991450484195441
Base-Instruct + Prompt,wrong_attempt,4,9,0.4444444444444444,0.18877852109766452,0.733348706504507
Base-Thinking + Prompt,first_hint,9,9,1.0,0.7008549515804559,1.0
Base-Thinking + Prompt,pressure,2,9,0.2222222222222222,0.06322510711784671,0.5474110308930111
Base-Thinking + Prompt,wrong_attempt,5,9,0.5555555555555556,0.26665129349549305,0.8112214789023355
Full-Project,first_hint,9,9,1.0,0.7008549515804559,1.0
Full-Project,pressure,9,9,1.0,0.7008549515804559,1.0
Full-Project,wrong_attempt,9,9,1.0,0.7008549515804559,1.0
LoRA + Instruct-Review,first_hint,9,9,1.0,0.7008549515804559,1.0
LoRA + Instruct-Review,pressure,9,9,1.0,0.7008549515804559,1.0
LoRA + Instruct-Review,wrong_attempt,9,9,1.0,0.7008549515804559,1.0
LoRA-only,first_hint,9,9,1.0,0.7008549515804559,1.0
LoRA-only,pressure,7,9,0.7777777777777778,0.45258896910698887,0.9367748928821533
LoRA-only,wrong_attempt,7,9,0.7777777777777778,0.45258896910698887,0.9367748928821533
