condition,difficulty,cvr,style_score,n
Base-Instruct + 4-Shot,easy,0.5333333333333333,4.066666666666666,15
Base-Instruct + 4-Shot,hard,0.35,4.35,20
Base-Instruct + 4-Shot,medium,0.3333333333333333,4.2,15
Base-Instruct + Prompt,easy,0.5333333333333333,3.933333333333333,15
Base-Instruct + Prompt,hard,0.35,4.25,20
Base-Instruct + Prompt,medium,0.4,4.133333333333334,15
Base-Thinking + Prompt,easy,0.4666666666666667,4.133333333333334,15
Base-Thinking + Prompt,hard,0.45,4.0,20
Base-Thinking + Prompt,medium,0.4,3.8666666666666667,15
Full-Project,easy,0.3333333333333333,4.666666666666667,15
Full-Project,hard,0.2,4.7,20
Full-Project,medium,0.3333333333333333,4.666666666666667,15
LoRA + Instruct-Review,easy,0.3333333333333333,4.666666666666667,15
LoRA + Instruct-Review,hard,0.2,4.7,20
LoRA + Instruct-Review,medium,0.3333333333333333,4.666666666666667,15
LoRA-only,easy,0.2,4.8,15
LoRA-only,hard,0.25,4.65,20
LoRA-only,medium,0.3333333333333333,4.666666666666667,15
