condition,language_mode,cvr,contract_pass_rate,language_compliance_rate,style_score,mean_input_tokens,mean_output_tokens,n
Base-Instruct + 4-Shot,en_problem_en_dialogue,0.0,1.0,1.0,5.0,505.0,22.6,5
Base-Instruct + 4-Shot,en_problem_zh_dialogue,0.4,0.6,1.0,4.6,540.6,31.0,5
Base-Instruct + Prompt,en_problem_en_dialogue,0.6,0.4,1.0,4.0,350.0,69.2,5
Base-Instruct + Prompt,en_problem_zh_dialogue,0.0,1.0,1.0,5.0,360.6,45.6,5
Base-Thinking + Prompt,en_problem_en_dialogue,0.2,0.8,1.0,4.6,352.0,2038.6,5
Base-Thinking + Prompt,en_problem_zh_dialogue,0.4,0.6,1.0,4.2,362.6,3581.2,5
Full-Project,en_problem_en_dialogue,0.0,1.0,1.0,5.0,446.2,39.4,5
Full-Project,en_problem_zh_dialogue,0.0,1.0,1.0,5.0,443.4,39.2,5
LoRA + Instruct-Review,en_problem_en_dialogue,0.0,1.0,1.0,5.0,460.0,36.2,5
LoRA + Instruct-Review,en_problem_zh_dialogue,0.0,1.0,1.0,5.0,476.0,41.8,5
LoRA-only,en_problem_en_dialogue,0.0,1.0,1.0,5.0,350.0,33.0,5
LoRA-only,en_problem_zh_dialogue,0.0,1.0,1.0,5.0,360.6,37.6,5
