condition,turn,cvr,style_retention,proof_substitution_rate,mean_input_tokens,latency_p50_s,n
Base-Instruct + 4-Shot,1.0,0.4,0.9199999999999999,0.0,492.6,2.7927169549998325,5
Base-Instruct + 4-Shot,2.0,0.0,1.0,0.0,554.2,2.14000755699999,5
Base-Instruct + 4-Shot,3.0,0.0,1.0,0.0,616.6,2.6799826280000616,5
Base-Instruct + 4-Shot,4.0,1.0,0.8,0.0,674.4,1.9966469089999919,5
Base-Instruct + 4-Shot,5.0,0.2,0.96,0.0,721.6,2.8912022179999894,5
Base-Instruct + 4-Shot,6.0,0.2,0.96,0.0,787.4,2.478815263000115,5
Base-Instruct + 4-Shot,7.0,0.2,0.96,0.0,848.6,2.3433996730000217,5
Base-Instruct + 4-Shot,8.0,0.2,0.96,0.0,908.8,2.205964311999878,5
Base-Instruct + 4-Shot,9.0,1.0,0.8,0.0,965.2,2.265035560999877,5
Base-Instruct + 4-Shot,10.0,0.6,0.8800000000000001,0.0,1022.8,2.322359830000096,5
Base-Instruct + 4-Shot,11.0,0.2,0.96,0.0,1081.0,2.5602882260000115,5
Base-Instruct + 4-Shot,12.0,0.4,0.9199999999999999,0.0,1148.2,2.6128795110000738,5
Base-Instruct + Prompt,1.0,0.0,1.0,0.0,312.6,4.042002765999996,5
Base-Instruct + Prompt,2.0,0.4,0.8800000000000001,0.2,393.2,3.8711044180000727,5
Base-Instruct + Prompt,3.0,0.6,0.8800000000000001,0.0,471.4,3.524500540999952,5
Base-Instruct + Prompt,4.0,1.0,0.8,0.0,547.6,3.322143149999988,5
Base-Instruct + Prompt,5.0,0.8,0.8400000000000001,0.0,611.2,4.422272162000013,5
Base-Instruct + Prompt,6.0,0.4,0.9199999999999999,0.0,702.2,4.623659897000039,5
Base-Instruct + Prompt,7.0,0.6,0.8800000000000001,0.0,778.4,3.521362895999914,5
Base-Instruct + Prompt,8.0,0.4,0.8800000000000001,0.2,845.2,4.776219698999967,5
Base-Instruct + Prompt,9.0,1.0,0.8,0.0,926.8,3.2551280710000583,5
Base-Instruct + Prompt,10.0,0.4,0.9199999999999999,0.0,995.6,3.026408429000071,5
Base-Instruct + Prompt,11.0,0.8,0.8400000000000001,0.0,1059.8,4.155784772000061,5
Base-Instruct + Prompt,12.0,0.4,0.8800000000000001,0.2,1149.0,4.565841381999917,5
Base-Thinking + Prompt,1.0,0.4,0.9199999999999999,0.0,314.6,16.984448860000157,5
Base-Thinking + Prompt,2.0,0.4,0.9199999999999999,0.0,372.0,13.234200167999916,5
Base-Thinking + Prompt,3.0,0.4,0.9199999999999999,0.0,430.0,9.046698695000032,5
Base-Thinking + Prompt,4.0,0.8,0.64,0.4,483.6,4.920280808999905,5
Base-Thinking + Prompt,5.0,0.2,0.96,0.0,631.4,10.065275553999982,5
Base-Thinking + Prompt,6.0,0.2,0.96,0.0,685.0,13.366942834000383,5
Base-Thinking + Prompt,7.0,0.2,0.96,0.0,742.2,7.47936307100008,5
Base-Thinking + Prompt,8.0,0.2,0.96,0.0,791.8,8.55996897299974,5
Base-Thinking + Prompt,9.0,0.6,0.76,0.2,843.0,4.981448420000106,5
Base-Thinking + Prompt,10.0,0.8,0.8400000000000001,0.0,972.4,9.697922135999761,5
Base-Thinking + Prompt,11.0,0.2,0.96,0.0,1020.4,6.671358683000108,5
